Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-4_DIA.raw
A0A0B4J2A0	Q9UHJ6;A0A0B4J2A0	A0A0B4J2A0_HUMAN		FGGY_N domain-containing protein	230494	342403	393561	415878	557506	331149	443264	342114	390886	354505	265015	248386	357673	261888	411146	234757	286737	603830	667454	676216	646196	720974	716013	658800	675153	527442	529983	651377	660509	636151	721404	565807	629978	743574	424181	306673	442137	390195	487104	433445	370555	479647	567217	420808	404729	490854	501432	538371	451342	489548	441092
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2;A0A096LNH5;A0A096LPI6;H7C1F6;H7C2G3	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.53323e+06	1.34875e+06	1.36428e+06	1.20695e+06	1.37594e+06	1.4698e+06	1.43005e+06	1.39841e+06	1.3658e+06	1.43786e+06	1.33472e+06	1.35725e+06	1.36263e+06	1.37403e+06	1.15926e+06	1.50235e+06	1.22708e+06	3.25122e+06	3.24886e+06	3.41592e+06	3.10292e+06	3.50197e+06	3.41998e+06	3.42947e+06	3.45762e+06	3.55879e+06	3.40515e+06	3.1287e+06	3.39322e+06	2.96511e+06	3.16579e+06	2.89035e+06	2.87497e+06	2.83993e+06	4.47009e+06	4.10055e+06	3.98688e+06	3.91662e+06	4.15828e+06	4.3348e+06	4.34541e+06	4.13409e+06	3.79063e+06	4.16503e+06	3.90906e+06	4.46524e+06	3.89667e+06	3.56219e+06	3.228e+06	3.57688e+06	3.28399e+06
A0A0B4J2H0;P01742	A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01	HV169_HUMAN;HV69D_HUMAN	IGHV1-69;IGHV1-69D	Immunoglobulin heavy variable 1-69D	84562	53413	164458	142321	179442	115375	152240	149883	49516.3	45586.6	97215.1	66158.1	211702	77164.3	87192.3	131402	78890.6	217520	205777	78607.4	126284	225751	168258	157627	243587	87987.5	99589.7	170869	185357			185920	114639		392006	350891	332294	572147	375916	435312	484068	338227	452005	533506	618975	510663	476804	341622	409710	435002	578922
A0A0C4DGB9	A0A0C4DGB9	A0A0C4DGB9_HUMAN	PPA2	Inorganic diphosphatase	250242	315774	236600	199425	298947	325009	411453	234264	309404	237909	170139	250362	387898	136091	234451	128350	174710	200528	217580	257853	243736	272648	302264	99497.9	188573	133039	167437	319689	236637	169898	161496	146400	117801	173952	194853	217342	77265.1	309112	159780	305068	334588	393915	305186	236815	213986	373605	226045	262999	293981	273144	280194
A0A0C4DGN3	A0A0C4DGN3	A0A0C4DGN3_HUMAN	ATP2A3	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (Fragment)	761067		931003	541737	593441	905949	1.08178e+06	551446	988798	821053	854771	417979	312302	142045	605835	607454	532488	909313	169843	371054	658125	1.02738e+06	330184	361484	293774	431983	201167	301051	843805	253618	588660	714894	797877	707456		980834	366649	340993	764853	173351	903496	971623	463877	836359	994618	174965	825433	443499	629622	576951	649539
A0A0C4DGP0;E7EU35	A0A0C4DGP0;E7EU35	A0A0C4DGP0_HUMAN;E7EU35_HUMAN	PITPNC1	Cytoplasmic phosphatidylinositol transfer protein 1					20614.3	34560		32211.2					39740.7		66660			9468.04	14838	33869.3											58332.7		35810.1		54880.7	138656	35099.4					28944.8				54477.6	18765.7	87494.8	65539.3	14443.7	
A0A0C4DGP4	P14314;A0A0C4DGP4;K7ELL7	A0A0C4DGP4_HUMAN	PRKCSH	Glucosidase 2 subunit beta (Fragment)	1.13426e+07	1.01585e+07	9.77917e+06	1.04053e+07	1.24851e+07	1.00968e+07	1.1242e+07	9.20737e+06	9.38644e+06	9.448e+06	1.01319e+07	1.04461e+07	1.00857e+07	6.38932e+06	1.00696e+07	8.34079e+06	1.02937e+07	1.2334e+07	1.2489e+07	1.27464e+07	1.31632e+07	1.2354e+07	1.17148e+07	1.29259e+07	1.15761e+07	1.19549e+07	1.20971e+07	1.21043e+07	1.18355e+07	1.23823e+07	7.17036e+06	8.53874e+06	9.54457e+06	1.09153e+07	1.17294e+07	1.25686e+07	1.2364e+07	1.3128e+07	1.21176e+07	1.12838e+07	1.22312e+07	1.26905e+07	1.28221e+07	1.24935e+07	1.22908e+07	1.14614e+07	1.17726e+07	6.25475e+06	8.82196e+06	7.49e+06	1.03436e+07
A0A0C4DH31;P23083	A0A0C4DH31;P23083	HV102_HUMAN;HV118_HUMAN	IGHV1-18;IGHV1-2	Immunoglobulin heavy variable 1-18									127516				216867				216074	466837		339400	535545	457551	105730		454876		100747		307072							172696	518731	448668	385000	409422	85548.2	463739				247225	475916		361205	357737	436025
A0A0C4DH38	A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51													51329			164703		60214.1	54834.2				66371.9	65768.9	58140.2	32066.7	15954.1	62001.2		87321.8	206409	55593.1	78315	128283		330352		263436	47264.8	326389	203215	253402	93829.5	72418.1	101559	125988	216756		60335	244412	133808
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08;A0A0J9YWU9	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61		75562.4	40382.4			37810.5		32187.6				71926.9		40963.5						118147	29296.9				66417.8					89371.4	119023	186966	182226	265692					36780.5	172020	272419	162980			133196	236875		530865	365320	301290	374445
A0A0D9SEY7;Q5JXI8	Q13642;A0A0D9SEY7;A0A0D9SFB0;A0A0D9SFI6;A0A0D9SFZ9;A0A0D9SGB2;A0A0D9SGD1;A0A494C0D6;A0A494C0J3;Q5JXH7;Q5JXH8;Q5JXH9;Q5JXI0;Q5JXI2;Q5JXI3;Q5JXI8	A0A0D9SEY7_HUMAN;Q5JXI8_HUMAN	FHL1	Four and a half LIM domains protein 1 (Fragment)	1.48576e+07	1.70679e+07	1.7147e+07	1.68449e+07	1.83159e+07	1.73862e+07	1.55692e+07	1.63605e+07	1.16099e+07	1.15807e+07	1.19222e+07	1.62584e+07	1.68599e+07	9.3393e+06	1.00038e+07	7.12462e+06	1.08116e+07	1.19362e+07	2.06399e+07	2.76525e+07	1.90763e+07	1.85584e+07	1.79251e+07	1.69351e+07	1.55146e+07	1.73682e+07	1.86708e+07	1.74048e+07	1.74603e+07	2.02182e+07	1.12754e+07	9.89498e+06	1.72025e+07	9.99611e+06	3.015e+07	2.42888e+07	1.48092e+07	2.08518e+07	1.71121e+07	1.9815e+07	2.80043e+07	2.2381e+07	1.60703e+07	2.12327e+07	1.93037e+07	2.56907e+07	2.87487e+07	1.1861e+07	1.69249e+07	9.34053e+06	1.57712e+07
A0A0D9SFE4	Q05193;A0A0D9SFB1;A0A0D9SFE4;A0A0U1RQP1	A0A0D9SFE4_HUMAN	DNM1	Dynamin GTPase	2.23588e+06	2.24164e+06	2.42964e+06	2.21687e+06	1.96758e+06	2.2285e+06	2.11644e+06	2.62656e+06	2.17573e+06	2.31446e+06	2.22825e+06	2.35285e+06	2.19052e+06	2.50134e+06	2.29459e+06	2.30705e+06	2.04108e+06	2.9419e+06	2.8054e+06	3.03099e+06	2.78359e+06	2.81733e+06	3.12123e+06	2.96715e+06	2.9413e+06	2.79709e+06	2.7953e+06	3.10755e+06	3.06008e+06	3.01014e+06	3.65331e+06	3.26037e+06	2.9696e+06	2.9713e+06	2.23554e+06	2.29546e+06	2.26802e+06	2.4395e+06	2.3336e+06	2.3752e+06	2.521e+06	2.61875e+06	2.34156e+06	2.28185e+06	2.39907e+06	2.3102e+06	2.45226e+06	2.89369e+06	2.39572e+06	2.28856e+06	2.36302e+06
A0A0G2JH50;A0A140T9L3;A0A1W2PP77;Q5RIP0	A0A0G2JH50;A0A0G2JIF0;A0A140T921;A0A140T9H5;A0A140T9L3;A0A140T9Q4;A0A140T9S7;A0A140T9U8;A0A140TA05;A0A140TA19;A0A1W2PP77;A0A1W2PRX1;A0A1W2PS56;A2BF26;O19617;Q5RIP0	A0A0G2JH50_HUMAN;A0A140T9L3_HUMAN;A0A1W2PP77_HUMAN;Q5RIP0_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	871483	963302	1.0188e+06	1.01899e+06	952085	602565	798294	843945	812054	765718	853697	277295	599208	431187	167244	193936	758989	1.0171e+07	1.00366e+07	9.30474e+06	1.21297e+07	1.1628e+07	7.62807e+06	8.32403e+06	1.14216e+07	9.94945e+06	1.0063e+07	8.8796e+06	8.35654e+06	9.70778e+06	7.32744e+06	6.26494e+06	7.32131e+06	6.31683e+06	1.62176e+07	1.73789e+07	1.44065e+07	1.43783e+07	1.22221e+07	1.23939e+07	1.26049e+07	1.2879e+07	1.35724e+07	1.41749e+07	1.41224e+07	1.01486e+07	1.15787e+07	1.04905e+07	1.11241e+07	8.34132e+06	1.01689e+07
A0A0G2JH50;A0A140T9U0;Q5RIP0	A0A0G2JH50;A0A0G2JIF0;A0A0G2JKJ1;A0A140T912;A0A140T930;A0A140T937;A0A140T9M0;A0A140T9M5;A0A140T9Q4;A0A140T9S7;A0A140T9T1;A0A140T9U0;A0A140T9W2;A0A140T9Z4;A0A140TA03;A0A140TA19;A0A1W2PRZ0;A2BF26;O78179;Q53YP1;Q5RIP0	A0A0G2JH50_HUMAN;A0A140T9U0_HUMAN;Q5RIP0_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	7.32374e+06	6.79154e+06	6.20841e+06	5.9137e+06	5.57889e+06	6.36807e+06	7.97185e+06	4.67885e+06	6.52145e+06	5.82323e+06	6.95214e+06	6.63298e+06	7.26748e+06	3.9897e+06	6.99399e+06	6.75309e+06	6.49194e+06	3.4137e+06	3.23777e+06	4.05887e+06	2.80624e+06	3.29813e+06	3.63332e+06	3.8196e+06	3.6342e+06	4.24785e+06	4.1936e+06	3.58274e+06	4.48825e+06	3.22465e+06	2.75103e+06	2.91195e+06	3.76045e+06	3.26668e+06	2.39545e+06	2.40764e+06	2.25671e+06	2.01173e+06	2.50792e+06	2.0871e+06	2.2895e+06	2.21338e+06	2.1537e+06	2.27406e+06	2.29903e+06	2.54064e+06	2.41033e+06	2.0721e+06	2.30776e+06	2.43695e+06	2.47494e+06
A0A0G2JH50;Q5RIP0	A0A0G2JH50;A0A0G2JIF0;A0A140T9Q4;A0A140T9S7;A0A140TA19;A0A1W2PS56;A2BF26;Q5RIP0	A0A0G2JH50_HUMAN;Q5RIP0_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	583529	814250	592806	700175	420825	554177	831433	600195	969613	864339	704974	791382	632044	676409	624627	368452	572439	308969	342298	239589	120743	209151	514185	405130	459390	442460	545950	428948	313306	274372	322544	323095	256925	536074														171750	47894.9		
