Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-4_DIA.raw
A0A0A0MRZ8	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11					245890												342414	332319	609377		476907			625345	523287	479248	643849	453709	216377			319561			839869	988978	1.2375e+06	1.07252e+06	1.17706e+06	1.38544e+06	1.38475e+06	1.14792e+06	1.21251e+06	1.31112e+06	1.25626e+06	1.40743e+06	1.21581e+06	1.14144e+06	1.21491e+06		498682	588441	1.25879e+06
A0A0A0MS51	A0A0A0MS51	A0A0A0MS51_HUMAN	GSN	Actin-depolymerizing factor	1.61598e+06	1.40164e+06	1.60196e+06	1.82727e+06	470991	1.59285e+06	1.83095e+06	1.3703e+06	1.56421e+06	1.93109e+06	1.80132e+06	1.62266e+06	1.79876e+06	1.14062e+06	1.45054e+06	815345	1.48763e+06	1.70152e+06	1.68517e+06	1.60914e+06	1.53508e+06	1.54137e+06	1.59759e+06	1.85955e+06	1.64939e+06	1.71158e+06	1.43219e+06	1.86634e+06	1.79644e+06	1.81339e+06	1.85204e+06	1.43288e+06	1.09946e+06	1.21803e+06	1.5747e+06	1.7871e+06	679503	868785	959223	905176	1.03949e+06	784096	807826	978948	852410	846888	1.0448e+06	873840	874762	687345	659512	543533	860639
A0A0B4J2B5	A0A0B4J2B5	A0A0B4J2B5_HUMAN	IGHV3OR16-9	Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment)	291947	302796	310824	271111	260857	329828	282949	205038	218683	268514	273331	266718	324755	380036	380759	289307	332655	387569	304203	338959	293188	331694	298190	334925	295676	281050	283212	361635	185712	383760	282447	371275	379664	366718	314879	344747	626217	700182	592820	644889	753913	607487	569735	663554	650765	524146	691823	616790	650541	686291	644118	662740	710227
A0A0B4J2D5	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.28119e+06	1.50036e+06	1.57911e+06	1.26457e+06	1.7948e+06	1.48661e+06	1.09436e+06	1.50971e+06	1.54499e+06	1.43223e+06	1.51689e+06	1.41626e+06	1.58188e+06	1.69672e+06	1.45774e+06	1.59479e+06	1.51948e+06	1.1811e+06	3.28801e+06	3.24049e+06	3.42459e+06	3.31599e+06	3.47431e+06	3.5321e+06	3.43425e+06	3.43481e+06	3.57451e+06	3.53626e+06	3.43576e+06	3.67188e+06	3.1747e+06	3.38788e+06	3.39437e+06	3.5874e+06	3.05108e+06	3.42368e+06	4.20417e+06	4.11906e+06	4.33309e+06	4.03408e+06	4.76788e+06	4.27811e+06	4.25183e+06	4.36822e+06	3.99304e+06	4.04067e+06	4.28467e+06	4.4874e+06	4.1939e+06	3.83844e+06	3.55478e+06	3.80616e+06	3.83067e+06
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	308217	369382		343162		117055	336179	262212	394234	171637	196696	306536	290567		208408	299245	329858	398112	422309	586855	647740	394455	422613	422627	515126	915991	490300	461348	512836	408037	526960	279674	371487	342425	337794	396585		496247		124136	144502	166574		1.04782e+06	1.27871e+06		163321	293761			247353	213169	229215
A0A0B4J2H0	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	Immunoglobulin heavy variable 1-69D	89663.1	47088.1	167996	121381	98733.5	115915	169838	137019	80545.3	114694	98618.3	65788.5	218614	75817.5	114034	102940	102229	181726	218166	197425	108911	124118	230685	168607	187242	242816	60736.7	93690.8	166886	149222	160907		210534	162547	67265.1	99364.4	369866	471523	343167	571681	374667	519679	555175	331201	447573	522930	634581	539801	466591	362882	498063	446555	623843
A0A0C4DGA7	A0A0C4DGA7	A0A0C4DGA7_HUMAN	ABLIM3	Actin-binding LIM protein 3	237986	59324.2	319679		539161	149845	403590	33851.3		262360		71520	411223	119490		141997	192273	40565.6					61273.3		139250				238633	149660	146672						272478						139561	50505.1					415439		83737.8		
A0A0C4DGB9	A0A0C4DGB9	A0A0C4DGB9_HUMAN	PPA2	Inorganic diphosphatase	229488	200706	205012	191098	174312	213785	250588	121043	227506	162969	136603	125500	153144	162336	153709	115166	170622	197691	109309	192183	169922	169619	157133	182163	176307	137844	177469	194505	210757	137755	190004		109092		137282	86269.3	130964	103022	176892	239702		225302	61519.3	249106	286992		245729	246342	170419	259748	189939	167162	150392
A0A0C4DGN3	A0A0C4DGN3	A0A0C4DGN3_HUMAN	ATP2A3	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (Fragment)						852846							1.10532e+06	192939	614939	453168	530704														306250	558010	578072	635259	697471						764288						939534			359442	477911	535656	552488
A0A0C4DGP0	A0A0C4DGP0	A0A0C4DGP0_HUMAN	PITPNC1	Cytoplasmic phosphatidylinositol transfer protein 1			23451.4	32086.4		21786.7	25806	28943.3	32478.5			29219.3	27658.1		66328.1	33228.4		34984	12130.1	15884.5	45401.3				21893.9						27432.2	63493.9		26504.4			41105.8	169342					7046.59					58112.9	17776.1	61412.6	113997	17301.1	
A0A0C4DGP4	A0A0C4DGP4	A0A0C4DGP4_HUMAN	PRKCSH	Glucosidase 2 subunit beta (Fragment)	45110.5		28236.7			48979.3		62898.2	48141.5						48147.6	107012			80061.7			22308.5	41411.8		295193		21407.9	52277.2	29636			98109.7	109728		118415								61147.4	184842		57588.9				162742	26899		65500.4
A0A0C4DH31	A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	569799	475152	625579	474201	635518	533827	426432	634639	449443	631117	265001	424964	383179	417306	520043	389528	377267	361708	459427	349277	337977	156277	213854	407621	318853	441916	312337	425718	383322	271465	246748	621170	338147	300731	408209	233774	708190	943637	1.10461e+06	1.02145e+06	588796	523360	665625	538487	815007	672133	952686	315460	539885	1.21016e+06	623125	338009	877692
A0A0D9SEY7	A0A0D9SEY7	A0A0D9SEY7_HUMAN	FHL1	Four and a half LIM domains protein 1 (Fragment)																																					574974	556317	536120	564061	504579	281869	587994	407879	536570	518404	582636	589414	636452		282342	236815	217698
A0A0D9SFE4	A0A0D9SFE4	A0A0D9SFE4_HUMAN	DNM1	Dynamin GTPase														101436		70203.3	78751													42006.6		129146	146765	153551	76167														33760.9	146023	107655		156003
A0A0G2JQT1	A0A0G2JQT1	A0A0G2JQT1_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1 (Fragment)	497832	318263	358387	345185	330179	413776	419411	244069	303191	365196	425840	378020	473554	1.00267e+06	590852	1.0074e+06	1.09667e+06	326826	335214	317279	283871	343568	387935	410115	305000	311756	321505	404500	357738	282701		911437	985513	1.18167e+06	1.1263e+06	290776	607514	735886	863668	790907	728843	518690	752991	873029	707849	749996	526985	813536	866906	1.73075e+06	1.33023e+06	1.73594e+06	2.02813e+06
A0A0J9YWI3	A0A0J9YWI3	A0A0J9YWI3_HUMAN	FRMD4A	FERM domain-containing protein 4A (Fragment)	403067	332100	418699	377629	538136	326798	390731	413484	301397	353451	274522	552117	209693	212178	209902		47845.3	318023	333056	294565	254353	271337	74805.7	312665	289724	281201	247392	297235	268314	265861	147439	155329		82681.2	163108	223005		411565	367573	275134	247149	184699	209921	349282	282646	283461	414770	281364	223296	228831	127780		
A0A0J9YX62	A0A0J9YX62	A0A0J9YX62_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6	126505	277461	143782	460824		372419	372672	423402			432425		356984	215699				329938						297301	264369					122492		235268																					
A0A0U1RQK7	A0A0U1RQK7	A0A0U1RQK7_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	128209			165038	176772	107693	186664		148598	94636.1	121297	182469	150914	167397		151392	148814	221739	90993.7			31219	166020					128981			80760.9	78879.1	144043	104769		46960.5		148468	304086		203017		123695		275285	270704	240712		125563		206150	196886	216201
A0A0U1RQL8	A0A0U1RQL8	A0A0U1RQL8_HUMAN	GSN	Macrophage-capping protein (Fragment)			62979.2	51583.1			65413.6	79216.9	26280.3	124555	162613	151288	108005	21661.7		20093.6		113379	31723.9	42891.4	91945.9	76246.7	61893.7	100517	89614.7	65256	38356.9	21215.6	60858.4		41752.9				61574.5	36685.7																	
A0A0U1RRL7	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	7.938e+06			763931			471814		759211	607679			830388	406156		608496	678332	969627	744611	809790	382366	1.00052e+06			615232	570918	399531	545377			549751		619097	613473	563209	752540	841072	955698	914782	1.12353e+06	1.03374e+06	719180	725909	835713	838470	742378	982024	777733	391026	1.16792e+06	656421	494960	813751
A0A140T8X6	A0A140T8X6	A0A140T8X6_HUMAN	LY6G6D	Lymphocyte antigen 6 complex locus protein G6d (Fragment)	202882	288640	219869	398905	78605.3	192582	147294	215164	205239	232577	213655	254768	83221.7	139017	214806	173704	241921	273214	259250	240911	224449	275752	159944	162431	362888	104679	208698	250226	247474	52892.6	88591.8	111567	115353	189389	333160	320915	53630.1		112025	68871.4	88609		58062.6	33632	37541.1	83013.7	52882.3	31537.3	26549			16228.3	70940.2
A0A140T913	A0A140T913	A0A140T913_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain	2.38631e+07	2.35496e+07	2.35742e+07	2.41221e+07	2.09536e+07	2.42822e+07	2.48213e+07	2.17897e+07	2.25823e+07	2.18228e+07	2.38719e+07	2.31704e+07	2.4558e+07	1.63083e+07	1.98257e+07	1.76548e+07	2.05222e+07	2.45417e+07	1.31424e+07	1.30909e+07	1.35029e+07	1.26486e+07	1.25237e+07	1.29878e+07	1.31199e+07	1.22944e+07	1.37115e+07	1.28421e+07	1.33245e+07	1.35307e+07	1.32347e+07	1.09291e+07	8.17509e+06	1.01337e+07	1.10208e+07	1.22149e+07	1.17469e+07	1.18507e+07	1.05476e+07	1.15338e+07	1.16427e+07	1.26282e+07	1.21565e+07	1.08685e+07	1.04323e+07	1.0824e+07	1.06482e+07	1.1562e+07	1.09475e+07	9.6271e+06	9.71784e+06	9.84173e+06	1.0682e+07
A0A140T9L8	A0A140T9L8	A0A140T9L8_HUMAN	MPIG6B	C6orf25	8.37833e+06	8.22372e+06	8.26944e+06	8.44734e+06	8.82367e+06	8.16766e+06	8.6974e+06	7.74574e+06	8.36295e+06	8.01116e+06	8.23947e+06	8.1387e+06	8.61401e+06	5.78622e+06	6.00003e+06	5.51349e+06	3.94401e+06	7.91794e+06	7.75438e+06	7.07025e+06	7.87175e+06	7.74525e+06	7.72897e+06	7.44689e+06	8.0462e+06	8.08557e+06	8.62476e+06	7.65814e+06	7.40883e+06	7.58807e+06	7.52532e+06	5.76927e+06	4.81189e+06	5.7609e+06	3.90722e+06	8.10408e+06	4.13666e+06	4.16273e+06	3.75056e+06	4.23882e+06	4.53507e+06	4.77472e+06	4.40446e+06	4.33924e+06	4.01878e+06	4.35103e+06	4.06336e+06	4.1766e+06	4.32607e+06	3.11372e+06	3.44886e+06	1.84322e+06	2.49295e+06
A0A140T9M0	A0A140T9M0	A0A140T9M0_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain		66844.6						2.18051e+06	143195	123064			40233.8	106884		306802	168640		2.11835e+06	1.95823e+06	1.88918e+06	2.00064e+06	2.20579e+06	2.10621e+06	1.86914e+06	1.99212e+06	1.82702e+06	1.71839e+06	2.05487e+06	1.98301e+06	1.85586e+06	1.31046e+06	1.45903e+06	1.14582e+06	1.37045e+06	1.63637e+06	1.43171e+06	1.49661e+06	1.47774e+06	1.37419e+06	1.29529e+06	1.23183e+06	1.43328e+06	1.24886e+06	1.35487e+06	1.27856e+06	1.28632e+06	1.15519e+06	1.20857e+06	1.06972e+06	824313	975602	943468
A0A1B0GUL7	A0A1B0GUL7	A0A1B0GUL7_HUMAN		Protein kinase domain-containing protein	234180	329160	358733	378790	395512	237835	258529	349789	359959	331489	338882	358002	337636	440171	264088	83292.9	113399	285328	180036	244084	255925	309705	214871	231611	281052	321372	217980	309415	308394	224907	202566	305307	285471	148719	112540	206264	99220.7	58067.9	314119		117058		161380	242383	166783	243733	164902	175601	128143	286633	182180		
